年,臺灣地區-元,新北市-元,臺北市-元,桃園市-元,臺中市-元,臺南市-元,高雄市-元,宜蘭縣-元,新竹縣-元,苗栗縣-元,彰化縣-元,南投縣-元,雲林縣-元,嘉義縣-元,屏東縣-元,臺東縣-元,花蓮縣-元,澎湖縣-元,基隆市-元,新竹市-元,嘉義市-元
1998,1070268,1087242,1442675,1163181,1102701,911488,1029317,976550,1113042,943047,951047,875980,782106,707349,919710,702299,887914,634053,999088,1207558,1059622
1999,1089575,1102563,1472979,1174654,1137007,896601,1051762,1022506,1167454,945975,891310,1005079,889682,766905,879362,725065,883537,723916,1058154,1268541,958462
2000,1091478,1095192,1530735,1209363,1038480,933736,1031569,972996,1232173,935836,897000,874344,810634,857615,913848,780967,933625,831230,1052113,1395702,1005451
2001,1064136,1098408,1505506,1143050,1055944,872189,1003108,877199,1106603,944066,845708,836262,873803,783819,838027,760989,933484,732306,964170,1419946,975877
2002,1064153,1100003,1514440,1192731,1015972,898270,974592,846963,1127123,921405,943182,830936,817942,730084,927042,774329,845923,760406,893884,1320717,1015957
2003,1064825,1093053,1501916,1163092,1023452,936057,972280,943028,1133617,949888,962720,819394,809617,738385,919906,737947,880361,739670,881716,1344434,927635
2004,1074665,1109639,1488180,1203215,990633,943051,1011408,874576,1196515,895950,945506,879780,849594,778574,847872,755711,858345,874714,1048399,1479816,832402
2005,1082168,1135398,1514069,1192419,988496,881412,1046729,994967,1304360,931906,906328,897891,769997,797895,894772,695369,795376,778659,1052699,1361016,984171
2006,1099739,1125605,1526228,1179444,1048174,950332,1030212,931588,1164274,1030851,961572,964953,906358,810323,899657,753191,862688,853872,948817,1478303,966863
2007,1108674,1099472,1550134,1210511,1105239,972699,1081799,909097,1098234,1000447,922001,860836,794205,750236,953471,860701,878356,789752,999562,1554456,899387
2008,1099994,1159279,1538257,1182721,1026631,976116,1068765,1006018,1289463,919930,902838,851992,767431,764933,842372,699334,843646,902952,976639,1462204,898229
2009,1074180,1110774,1515793,1146080,977731,924950,1052162,904809,1281933,926267,890929,978331,744181,741766,877498,805395,808632,851835,1026166,1426854,836551
2010,1071938,1071131,1564298,1122238,987259,886924,1052260,971775,1300116,964594,887707,932725,748256,775017,850116,674899,904472,986954,1040931,1448209,842337
2011,1104265,1116342,1537890,1183732,1100346,948383,1043941,877016,1372358,1014144,920937,881743,817778,804668,866795,733168,920602,828441,1018118,1479675,925444
2012,1122379,1101389,1570778,1238698,1067060,927231,1085971,1075706,1367712,1012306,953701,986881,824211,880625,889560,796622,927400,887077,955197,1439066,1095203
2013,1140271,1129598,1545415,1257146,1126875,996434,1107383,979013,1346768,1020185,936595,896557,838094,858253,861063,799026,966607,922916,1002341,1535411,1241161
2014,1157926,1146991,1575819,1327963,1152523,991990,1112287,1071335,1389453,1100084,940572,919551,865131,789406,832681,820549,860613,932694,957360,1576797,1157962
2015,1167284,1171978,1581899,1307158,1169183,1007093,1145895,1160320,1283995,1008241,926717,878760,876670,890742,869818,746981,924706,792696,1072433,1427572,1106004
2016,1194572,1223867,1568945,1317790,1140325,1063495,1166824,1085846,1365150,1166196,994353,916199,896101,896217,911258,797395,948501,1069545,1074314,1537317,1154411
2017,1231112,1265798,1648122,1337361,1245350,1079199,1186204,1098807,1616327,1029485,970491,894368,868663,901022,958999,889108,910090,857821,1096361,1572296,1090947
2018,1249031,1292753,1649348,1378732,1279865,1086077,1219246,1069997,1519478,1045881,997162,967369,860237,940780,985681,884510,937898,959761,1070748,1426379,1152499
2019,1274196,1319841,1723021,1392199,1298497,1079174,1224668,1093475,1539555,1073028,1026792,940893,933883,850597,964547,874386,956973,1037554,1140481,1602826,1208298
2020,1293719,1352548,1716591,1424027,1289700,1086475,1224100,1138365,1619782,1161999,996066,997605,988062,906554,1064508,891340,1032499,1091011,1106963,1618903,1225219
2021,1314023,1381603,1732126,1448909,1304508,1120580,1231562,1136419,1689337,1214424,1086809,985686,1024191,916631,1046302,911136,1026488,796484,1111556,1602415,1217617
2022,1340848,1421385,1752411,1449549,1338826,1143699,1263068,1165558,1702134,1273250,1108221,1048879,1016913,891498,1083933,916928,1010041,919357,1099526,1722889,1282798
