日期(年),煤炭進口量_總計,液化天然氣進口量合計,原油進口量合計
2002,51814,5242,278159
2003,54669,5531,327106
2004,60511,6877,368686
2005,60345,7101,381741
2006,62431,7783,365362
2007,65406,8286,360809
2008,64120,9033,333143
2009,59055,8788,343674
2010,63971,10951,316677
2011,67507,11984,290062
2012,65735,12488,318420
2013,67264,12547,295935
2014,67095,13277,315220
2015,65980,14229,307701
2016,65634,14845,313844
2017,67591,16508,312217
2018,66513,16808,322532
2019,67332,16581,325232
2020,63346,17749,270047
2021,67484,19439,278853
2022,63646,19958,297444
